intervention_id,partner_id,intervention_type,intervention_date,outcome,uplift_signal,outcome_recorded_at,created_at
0ab24b6e-0a2a-4ed3-9f67-3597f50086ab,P00001,call,2025-12-07T04:12:18.854626,Retained,-0.14,2026-01-06T04:12:18.854626,2026-02-07T04:12:18.854666
a2b8ff25-78ce-49cb-b2fd-acac4841d1de,P00002,email,2025-12-28T04:12:18.854734,Churned,0.2,2026-01-27T04:12:18.854734,2026-02-07T04:12:18.854746
f6219fbe-fe38-49bd-9c1c-5ee912aa7ab4,P00002,none,2025-11-29T04:12:18.854787,Retained,0.002,2025-12-29T04:12:18.854787,2026-02-07T04:12:18.854797
11ccaee0-becd-410a-9332-4e94334784b7,P00003,email,2025-12-05T04:12:18.854854,Retained,-0.312,2026-01-04T04:12:18.854854,2026-02-07T04:12:18.854863
6432b5c9-6080-4430-bcf8-a628aa91b68b,P00004,email,2025-12-18T04:12:18.854918,Retained,0.044,2026-01-17T04:12:18.854918,2026-02-07T04:12:18.854928
c1d7d786-7b5b-4211-9c29-098d3b373a32,P00004,email,2025-12-23T04:12:18.854963,Retained,0.02,2026-01-22T04:12:18.854963,2026-02-07T04:12:18.854972
5e27f2a3-c650-4eed-8f95-f5a7b45a7c40,P00004,email,2025-12-27T04:12:18.855008,Retained,0.035,2026-01-26T04:12:18.855008,2026-02-07T04:12:18.855017
07bc1fcc-31c0-47c2-82be-60958552613a,P00005,none,2025-11-23T04:12:18.855073,Retained,-0.196,2025-12-23T04:12:18.855073,2026-02-07T04:12:18.855082
52c2ca9a-cbd9-4e0d-8134-ce09693dbad3,P00005,none,2025-12-03T04:12:18.855120,Churned,0.098,2026-01-02T04:12:18.855120,2026-02-07T04:12:18.855128
6ff0c139-f5c7-49a0-9f6c-06cdbf53ba41,P10005,call,2025-11-20T04:12:18.855179,Retained,0.2,2025-12-20T04:12:18.855179,2026-02-07T04:12:18.855187
2f2cd282-dd4c-4f82-9b2c-9eb410df9885,P10005,email,2025-11-19T04:12:18.855220,Retained,-0.229,2025-12-19T04:12:18.855220,2026-02-07T04:12:18.855228
b3c0bf3f-d90d-4d85-a766-42ad7d3a62ef,P10006,email,2025-12-10T04:12:18.855279,Retained,-0.002,2026-01-09T04:12:18.855279,2026-02-07T04:12:18.855287
be3e511b-8c26-4d40-a73b-de2c39567920,P10007,email,2026-01-05T04:12:18.855334,Churned,0.018,2026-02-04T04:12:18.855334,2026-02-07T04:12:18.855342
1a2dae6a-3e04-4fc9-85c5-2f065d5748a5,P10008,email,2025-12-01T04:12:18.855390,Retained,0.199,2025-12-31T04:12:18.855390,2026-02-07T04:12:18.855399
c97e0b38-1857-4b87-9a17-77c3b3c83665,P10008,none,2025-11-16T04:12:18.855433,Retained,0.084,2025-12-16T04:12:18.855433,2026-02-07T04:12:18.855441
a7427e60-84bc-4782-b7c8-d0e68bb4c736,P10009,email,2026-01-03T04:12:18.855492,Retained,-0.247,2026-02-02T04:12:18.855492,2026-02-07T04:12:18.855500
6b6d17fe-ea9e-41da-9a9a-a6b3133dbb0d,P10009,email,2025-11-16T04:12:18.855534,Retained,0.066,2025-12-16T04:12:18.855534,2026-02-07T04:12:18.855542
0b617d71-ea73-40a0-8907-785c27b8d717,P10009,email,2025-11-13T04:12:18.855574,Retained,-0.037,2025-12-13T04:12:18.855574,2026-02-07T04:12:18.855582
374982f2-07f2-4d32-9adf-c486d7806a53,P10010,none,2025-11-13T04:12:18.855632,Retained,0.034,2025-12-13T04:12:18.855632,2026-02-07T04:12:18.855641
cec82702-cda3-44cf-acc8-bb02f457d6af,P10011,email,2025-12-21T04:12:18.855690,Churned,0.2,2026-01-20T04:12:18.855690,2026-02-07T04:12:18.855699
b1d8667e-07e1-4724-8ead-94db37239b9a,P10011,email,2026-01-02T04:12:18.855733,Retained,-0.056,2026-02-01T04:12:18.855733,2026-02-07T04:12:18.855741
12c6a0a7-cd23-4129-a582-9ac4e8348111,P10012,none,2025-12-30T04:12:18.855792,Retained,-0.157,2026-01-29T04:12:18.855792,2026-02-07T04:12:18.855800
aa5cb7aa-3738-4205-aebc-42ab51ee668d,P10012,none,2025-12-14T04:12:18.855836,Retained,0.104,2026-01-13T04:12:18.855836,2026-02-07T04:12:18.855843
2b12d986-8aa2-434f-ac5d-d0a575a8cbbf,P10012,none,2025-11-25T04:12:18.855881,Retained,0.199,2025-12-25T04:12:18.855881,2026-02-07T04:12:18.855889
3db25cfb-4750-4957-bf27-0363aaacccac,P10013,email,2025-12-14T04:12:18.855936,Retained,-0.154,2026-01-13T04:12:18.855936,2026-02-07T04:12:18.855944
ed3c0e92-7354-4ed0-89e6-5bf177cefbe1,P10014,none,2025-12-27T04:12:18.855995,Retained,0.041,2026-01-26T04:12:18.855995,2026-02-07T04:12:18.856003
8338ad68-3f47-4024-94a2-f7fb9f42ec28,P10015,none,2025-12-13T04:12:18.856050,Retained,0.01,2026-01-12T04:12:18.856050,2026-02-07T04:12:18.856057
b5c22f57-6ada-43ad-835b-e008d12e5cc5,P10016,email,2026-01-02T04:12:18.856104,Retained,0.016,2026-02-01T04:12:18.856104,2026-02-07T04:12:18.856112
8a8e312d-4310-45ff-af1e-8266799471c4,P10016,none,2025-12-03T04:12:18.856146,Churned,0.121,2026-01-02T04:12:18.856146,2026-02-07T04:12:18.856154
37c69c46-1671-46a1-8697-a67e33af570c,P10016,email,2025-12-18T04:12:18.856187,Retained,-0.158,2026-01-17T04:12:18.856187,2026-02-07T04:12:18.856194
aa43aaca-b7dc-4a95-b7a3-e33587f6d7e2,P10017,call,2025-11-22T04:12:18.856241,Retained,-0.066,2025-12-22T04:12:18.856241,2026-02-07T04:12:18.856249
d8369e7c-e75c-4326-9a2f-e2c119e71db2,P10018,email,2025-11-19T04:12:18.856298,Retained,0.0,2025-12-19T04:12:18.856298,2026-02-07T04:12:18.856306
b2426f45-6a01-4b8d-b02c-093706b6f69b,P10019,email,2025-12-13T04:12:18.856350,Retained,0.025,2026-01-12T04:12:18.856350,2026-02-07T04:12:18.856358
cf69e26d-6d45-4223-bbec-5ea75d1e947c,P10020,none,2025-12-02T04:12:18.856405,Retained,-0.079,2026-01-01T04:12:18.856405,2026-02-07T04:12:18.856412
