partner_id,region,payment_rail_type,is_master_affiliate,tier,tenure_months,avg_commission_3m,commission_volatility,login_count_30d,days_since_last_interaction,dashboard_usage_score,asset_download_count_30d,payment_delay_flag,unresolved_ticket_count,negative_sentiment_score,tier_proximity_score,traffic_quality_score,subnetwork_avg_health_score,subnetwork_recent_churn_count,churn_label,login_trend_30d,revenue_velocity,commission_trend_90d,conversion_rate_wow,churn_scenario,created_at,updated_at
P00001,APAC,Mobile_Money,False,Gold,16,5200.0,403.05,23,7,0.5047,3,True,1,0.15,0.04,0.789,,0,True,-0.12,-64.97,-0.152,-0.0358,Tier_Cliff_Anxiety,2026-02-07T04:12:17.039196,2026-02-07T04:12:17.039202
P00002,MENA,Crypto,False,Bronze,12,1030.63,263.3,18,21,0.8991,6,True,3,0.45,1.0,0.4325,,0,True,-0.069,-95.4,-0.161,-0.0178,Trust_Erosion,2026-02-07T04:12:17.039265,2026-02-07T04:12:17.039267
P00003,LATAM,Agent,True,Silver,23,15000.0,1028.68,10,0,0.541,3,False,1,0.27,1.0,0.425,73.33,8,True,-0.128,-91.96,-0.069,-0.0698,Network_Contagion,2026-02-07T04:12:17.039333,2026-02-07T04:12:17.039335
P00004,Africa,Bank,False,Bronze,25,1251.03,332.88,2,0,0.15,5,False,0,0.82,1.0,0.2433,,0,True,-0.037,-86.64,-0.054,-0.0704,Active_Churn,2026-02-07T04:12:17.039390,2026-02-07T04:12:17.039391
P00005,MENA,Crypto,False,Platinum,59,1284.09,1.47,3,12,0.7076,3,True,0,0.27,0.0,0.8597,,0,True,-0.25,-120.0,-0.068,-0.0401,Passive_Disengagement,2026-02-07T04:12:17.039448,2026-02-07T04:12:17.039449
P10005,MENA,Bank,False,Bronze,4,2442.96,840.16,7,2,0.5932,4,False,0,0.17,1.0,0.6215,,0,False,0.095,35.42,0.034,-0.0083,Healthy,2026-02-07T04:12:17.039512,2026-02-07T04:12:17.039513
P10006,MENA,P2P,True,Bronze,22,1262.97,610.61,8,5,0.5555,2,False,1,0.17,1.0,0.3013,82.35,3,False,0.058,5.88,0.01,0.0211,Healthy,2026-02-07T04:12:17.039573,2026-02-07T04:12:17.039574
P10007,Africa,Mobile_Money,False,Gold,6,1520.77,366.93,21,0,0.6933,3,False,0,0.19,0.0,0.581,,0,True,-0.144,-45.12,0.092,-0.0299,Tier_Cliff_Anxiety,2026-02-07T04:12:17.039643,2026-02-07T04:12:17.039644
P10008,EMEA,P2P,False,Silver,39,1427.02,273.54,13,4,0.7085,1,False,0,0.09,0.427,0.446,,0,False,0.528,65.3,0.129,0.0224,Healthy,2026-02-07T04:12:17.039711,2026-02-07T04:12:17.039713
P10009,Africa,Crypto,False,Bronze,28,1312.96,235.38,14,0,0.3325,4,True,2,0.03,1.0,0.3747,,0,False,-0.001,-27.43,0.151,-0.0115,Healthy,2026-02-07T04:12:17.039769,2026-02-07T04:12:17.039770
